id,name,album,album_id,artists
4VBryMYpnuNBvfhDuS3c4L,Cherry Garcia,The Cosmic Skybus,2YOVTzzchZKFQvUHSvBYbw,['Moon Pigeons']
6VYkPeM1XOtyv1PaFIyKGI,Fight or Flight,Certified Influence,77zhfNZT42iCImX35iWUNg,['Robby Blair' 'Slaine' 'Mr Green']
3dT1h2IXI97pfsdP1fEqoL,Nuclear Winter,A Very Lo-Fi Christmas,1n4QbLo4TyOJtVC76OejYk,['The Hot Buttered Elves']
6ptQfVvPIQsEGGvP6Ui1Zo,Crusading to Regress,Wearing Red,0FjYWmT3axg1NNjQREDHOf,['Tie These Hands']
14u5iGxFHx8bdthWYZCyTO,Devil Woman,More Fun Than an Open-Casket Funeral,11VbjJvAOLJtUZY18HOeym,['The AccÃ¼sed']
1Z7rgmK2h4kbtc8K5hWkAo,O Christmas Tree,A Don Campbell Christmas Vol. 2,7dzsx4gKIActlwCsVyKgVM,['Don Campbell']
2jxNqEF75jRiXAqzwoykiD,Whispers (Invocation mix by Heliosphere),Parity,0BLdTPGT1jECFuTUCF248i,['Sensuous Enemy']
4jw1ul6HZvgJRugmphktgp,Love or Let Me Be Lonely,Cool Night,6zK0vUxP3YQAWcc7injGov,['Paul Davis']
6uonfCDdd9R0QKjyQap3q1,Sailin',Deter Road,35vwiEqaTPKmpgPBVbm8Qd,['Clifton Davis & Doug Pitts']
0bl9IpvCvFelUZeWEPsGK7,Syncopated Jazz,Coroner's Office,6ocKa2ZBmbbuOh7CFpprCK,['Post Mortem']
7LpSjbJ9goueay6j63y5lK,The Sweetest Thing,Gentle Memories - Piano Solos Composed And Performed By Darin Henze,2Zyj1fM95w9mzWD0bopUNC,['Darin Henze']
